# ----------------------------------------
# All Web Site Data
# Overview
# 20181001-20190429
# ----------------------------------------

Device Category,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
10/30/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/30/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/30/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/31/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/31/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/31/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/1/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
11/1/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/1/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/2/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
11/2/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/2/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/3/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$197.96,2.86%
11/3/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/3/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$197.96,11.11%
11/4/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$287.00,2.67%
11/4/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/4/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$287.00,7.69%
11/5/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$212.40,2.17%
11/5/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/5/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$212.40,6.67%
11/6/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$166.16,2.47%
11/6/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$72.48,2.17%
11/6/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$93.68,2.86%
11/7/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$93.68,1.43%
11/7/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/7/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$93.68,3.57%
11/8/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
11/8/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/8/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/9/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$159.40,1.41%
11/9/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$159.40,2.33%
11/9/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/10/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$55.92,2.60%
11/10/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/10/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$55.92,8.33%
11/11/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$612.02,1.22%
11/11/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$612.02,2.04%
11/11/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
11/12/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$246.72,2.74%
11/12/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$93.68,2.27%
11/12/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$153.04,3.45%
11/13/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$261.96,5.26%
11/13/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$102.16,2.38%
11/13/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$159.80,13.33%
11/14/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$61.88,1.12%
11/14/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
11/14/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$61.88,3.85%
11/15/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
